Id,budget,company,country,director,genre,gross,movie status,name,rating,released,runtime,score,star,votes,writer,year
1759,0,"Tyler Perry Company, The",USA,Tyler Perry,5,90485233,Flop,Madea Goes to Jail,PG-13,20-02-2009,103,4.3,Tyler Perry,10052,Tyler Perry,2009
1760,0,UK Film Council,UK,Charles Dance,2,6759422,Hit,Ladies in Lavender,PG-13,27-05-2005,104,7.1,Judi Dench,8937,William J. Locke,2004
1761,0,UK Film Council,UK,Lasse Hallström,5,9025107,Flop,Salmon Fishing in the Yemen,PG-13,15-06-2012,107,6.8,Ewan McGregor,54890,Simon Beaufoy,2011
1762,0,United Artists,USA,Dennis Feldman,1,873903,Flop,Real Men,PG-13,25-09-1987,85,6.2,Jim Belushi,3077,Dennis Feldman,1987
1763,0,United Artists,USA,David Beaird,5,344375,Hit,It Takes Two,PG-13,13-07-1988,81,5.7,George Newbern,519,Richard Christian Matheson,1988
1764,0,Unity Pictures,Australia,Michael Gottlieb,5,458996,Flop,The Shrimp on the Barbie,PG-13,31-08-1990,90,5.6,Cheech Marin,985,Grant Morris,1990
1765,0,Universal Pictures,USA,Ron Underwood,5,16581714,Hit,Heart and Souls,PG-13,13-08-1993,104,6.9,Robert Downey Jr.,13859,Gregory Hansen,1993
1766,0,Universal Pictures,USA,Nick Castle,3,29412050,Hit,Major Payne,PG-13,24-03-1995,100,6.2,Damon Wayans,24344,Joe Connelly,1995
1767,0,Universal Pictures,USA,Beeban Kidron,5,36474193,Hit,"To Wong Foo Thanks for Everything, Julie Newmar",PG-13,08-09-1995,109,6.4,Wesley Snipes,22962,Douglas Carter Beane,1995
1768,0,Universal Pictures,USA,Peter Horton,2,2568429,Hit,The Cure,PG-13,21-04-1995,97,7.7,Joseph Mazzello,8061,Robert Kuhn,1995
1769,0,Universal Pictures,USA,John Nicolella,6,6086891,Flop,Kull the Conqueror,PG-13,29-08-1997,95,4.8,Kevin Sorbo,6906,Robert E. Ho16d,1997
1770,0,Universal Pictures,USA,Kevin Hooks,1,12829351,Hit,Black Dog,PG-13,01-05-1998,89,5.3,Patrick Swayze,7181,William Mickelberry,1998
1771,0,Universal Pictures,USA,Michael Lehmann,5,42674040,Hit,Because I Said So,PG-13,02-02-2007,100,5.6,Diane Keaton,33901,Karen Leigh Hopkins,2007
1772,0,Universal Pictures,USA,Billy Ray,8,33231264,Hit,Breach,PG-13,16-02-2007,110,7,Chris Cooper,53763,Adam Mazer,2007
1773,0,Universal Pictures,UK,Adam Brooks,5,31973840,Hit,"Definitely, Maybe",PG-13,14-02-2008,112,7.2,Ryan Reynolds,135220,Adam Brooks,2008
1774,0,Universal Pictures,USA,Kevin Macdonald,2,37017955,Flop,State of Play,PG-13,17-04-2009,127,7.1,Russell Crowe,118835,Matthew Michael Carnahan,2009
1775,0,Varney Productions,USA,Michael A. Simpson,5,472340,Hit,Fast Food,PG-13,28-04-1989,92,4.3,Clark Brandon,486,Scott B. Sowers,1989
1776,0,Vega Film,France,Christophe Barratier,2,3635164,Hit,The Chorus,PG-13,11-03-2005,97,7.9,Gérard Jugnot,47812,Georges Chaperot,2004
1777,0,Vinod Chopra Productions,India,Rajkumar Hirani,3,6532908,Hit,3 Idiots,PG-13,25-12-2009,170,8.4,Aamir Khan,250762,Rajkumar Hirani,2009
1778,0,Vision International,France,Jacques Dorfmann,3,1448640,Flop,Shadow of the Wolf,PG-13,05-03-1993,112,5.7,Lou Diamond Phillips,710,Jacques Dorfmann,1992
1779,0,16ner Bros.,USA,Prince,5,10090429,Hit,Under the Cherry Moon,PG-13,02-07-1986,98,4.9,Prince,2549,Becky Johnston,1986
1780,0,16ner Bros.,USA,Daniel Goldberg,5,3838793,Flop,Feds,PG-13,28-10-1988,90,5.3,Rebecca De Mornay,2530,Len Blum,1988
1781,0,16ner Bros.,USA,Michael Caton-Jones,5,54830779,Hit,Doc Hollywood,PG-13,02-08-1991,104,6.1,Michael J. Fox,27679,Neil B. Shulman,1991
1782,0,16ner Bros.,USA,William Dear,1,7788597,Hit,If Looks Could Kill,PG-13,15-03-1991,88,5.7,Richard Grieco,5551,Fred Dekker,1991
1783,0,16ner Bros.,USA,Irwin Winkler,2,9480198,Hit,Guilty by Suspicion,PG-13,15-03-1991,105,6.5,Robert De Niro,6588,Irwin Winkler,1991
1784,0,16ner Bros.,UK,István Szabó,5,1000348,Flop,Meeting Venus,PG-13,1991-12,119,6.8,Glenn Close,1060,István Szabó,1991
1785,0,16ner Bros.,USA,Cameron Crowe,5,18472850,Flop,Singles,PG-13,18-09-1992,99,6.7,Bridget Fonda,24175,Cameron Crowe,1992
1786,0,16ner Bros.,USA,Ivan Reitman,5,63270710,Hit,Dave,PG-13,07-05-1993,110,6.8,Kevin Kline,42827,Gary Ross,1993
1787,0,16ner Bros.,USA,Randa Haines,2,231700,Flop,Wrestling Ernest Hemingway,PG-13,17-12-1993,123,7.1,Robert Duvall,2547,Steve Conrad,1993
1788,0,16ner Bros.,UK,David Yates,3,295983305,Hit,Harry Potter and the Deathly Hallows: Part 1,PG-13,19-11-2010,146,7.7,Daniel Radcliffe,368576,Steve Kloves,2010
1789,0,Wayfare Entertainment,USA,Sebastián Cordero,2,125687,Hit,Europa Report,PG-13,27-06-2013,97,6.5,Sharlto Copley,58171,Philip Gelatt,2013
1790,0,Weintraub Entertainment Group,USA,Douglas Day Ste16t,2,4299023,Flop,Listen to Me,PG-13,05-05-1989,107,5.3,Kirk Cameron,882,Douglas Day Ste16t,1989
1791,0,Werner Herzog Filmproduktion,UK,Werner Herzog,2,80636,Flop,Invincible,PG-13,17-01-2002,133,6.5,Jouko Ahola,3695,Werner Herzog,2001
1792,0,Working Dog,Australia,Rob Sitch,5,2252970,Flop,The Dish,PG-13,04-05-2001,101,7.2,Sam Neill,13427,Santo Cilauro,2000
1793,0,Working Title Films,UK,Bernard Rose,2,241278,Hit,Paperhouse,PG-13,17-02-1989,92,6.8,Charlotte Burke,4568,Catherine Storr,1988
1794,7000,ERBP,USA,Shane Carruth,2,424760,Hit,Primer,PG-13,27-05-2005,77,6.9,Shane Carruth,81468,Shane Carruth,2004
1795,100000,Artists Public Domain,USA,Mike Cahill,2,1316074,Hit,Another Earth,PG-13,12-10-2011,92,7,Brit Marling,78957,Mike Cahill,2011
1796,150000,Miramax,USA,Gary Winick,5,2882062,Flop,Tadpole,PG-13,23-08-2002,78,6.2,Sigourney Weaver,5310,Heather McGowan,2000
1797,200000,Exclusive Media Group,USA,John Pogue,10,8496112,Hit,The Quiet Ones,PG-13,25-04-2014,98,5.1,Jared Harris,16654,Craig Rosenberg,2014
1798,225000,Westerly Films,USA,Whit Stillman,5,2938208,Hit,Metropolitan,PG-13,03-08-1990,98,7.5,Carolyn Farina,7776,Whit Stillman,1990
1799,250000,Paramount Vantage,USA,Drake Doremus,2,3413908,Hit,Like Crazy,PG-13,27-01-2012,86,6.7,Felicity Jones,51491,Drake Doremus,2011
1800,300000,United Artists,USA,Peter Hedges,5,2528664,Hit,Pieces of April,PG-13,28-11-2003,80,7.1,Katie Holmes,18540,Peter Hedges,2003
1801,312000,Spanky Pictures,USA,Gavin O'Connor,2,1281176,Flop,Tumbleweeds,PG-13,03-03-2000,102,6.7,Janet McTeer,3018,Angela Shelton,1999
1802,500000,Asghar Farhadi Productions,Iran,Asghar Farhadi,2,7098492,Hit,A Separation,PG-13,20-04-2012,123,8.4,Payman Maadi,170427,Asghar Farhadi,2011
1803,780000,Go Films,USA,Ryan Little,1,1310470,Hit,Saints and Soldiers,PG-13,25-03-2005,90,6.8,Corbin Allred,18516,Geoffrey Panos,2003
1804,800000,38 Productions,France,Ziad Doueiri,5,343229,Flop,West Beirut,PG-13,30-10-1998,105,7.8,Rami Doueiri,2545,Ziad Doueiri,1998
1805,1000000,Lakeshore Entertainment,USA,Scott Winant,12,3478370,Hit,'Til There Was You,PG-13,30-05-1997,113,4.8,Jeanne Tripplehorn,2415,Winnie Holzman,1997
1806,1000000,LivePlanet,USA,Efram Potelle,2,279282,Hit,The Battle of Shaker Heights,PG-13,22-08-2003,100,6.1,Shia LaBeouf,3926,Erica Beeney,2003
1807,1000000,Rogue Pictures,USA,Jeff Wadlow,2,10047674,Hit,Cry_Wolf,PG-13,16-09-2005,90,5.9,Julian Morris,23845,Jeff Wadlow,2005
